,Unnamed: 0,brand,model_name,screen_size,ram,rom,cams,sim_type,battary,sale_percentage,product_rating,seller_name,seller_score,seller_followers,Reviews,price
233,233,8,Galaxy A14 ,6.6,4.0,64.0,50MP + 5MP + 2MP + 2MP + 13MP,2,5000.0,23%,5.0,Superfly,74%,284,No reviews,3678840.5
234,234,8,Galaxy A03 Core ,6.5,2.0,32.0,8MP + 5MP,2,5000.0,24%,3.5,Superfly,74%,284,No reviews,2196155.8
235,235,11,C55 ,6.72,8.0,256.0,64MP,2,5000.0,10%,0.0,CELLINY COLLECTIONS,74%,967,No reviews,6369917.0
236,236,11,C33 ,6.5,4.0,128.0,50MP + 5MP,2,5000.0,16%,4.6,Minestar,86%,1002,[ (5 out of 5) its a good phone ],5513320.0
237,237,5,Spark 10 Pro ,6.8,24.0,128.0,50MP + 32MP,2,0.0,21%,5.0,KM KENYA ELECTRONICS,80%,1467,No reviews,3656484.0
238,238,7,C12 ,6.3,2.0,64.0,8MP + 5MP,2,3000.0,18%,0.0,SmartNets Enterprises,74%,249,No reviews,2315309.2
239,239,5,Pop 7 Pro Display ,6.56,4.0,64.0,13MP + 5MP,2,5000.0,24%,0.0,Kingsly,74%,287,No reviews,2615696.0
240,240,6,Reno 8 4G ,6.43,8.0,256.0,2MP + 32MP,2,4500.0,25%,0.0,CELLINY COLLECTIONS,74%,967,No reviews,7665451.5
241,241,2,Hot 30 Play ,6.82,8.0,128.0,16MP + 8MP,2,6000.0,34%,0.0,Minestar,86%,1002,No reviews,3159050.0
242,242,2,HOT 12 Display ,6.82,4.0,128.0,13MP + 8MP,2,5000.0,20%,3.5,Kingsly,74%,287,No reviews,3414964.2
243,243,5,Pop 7 Pro Disp ,6.56,3.0,64.0,13MP + 5MP,2,5000.0,16%,0.0,Kingsly,74%,287,No reviews,2323680.5
244,244,5,CAMON 20 Pro 4G Mr Doodle Edition Night ,6.67,16.0,256.0,32MP + 64MP,2,5000.0,20%,0.0,CELLINY COLLECTIONS,74%,967,No reviews,5626452.0
245,245,4,REDMI A2 PLUS ,6.52,2.0,32.0,8MP + 5MP,2,0.0,23%,0.0,CELLINY COLLECTIONS,74%,967,No reviews,2379093.8
246,246,2,Smart 7 HD ,6.6,2.0,64.0,8MP + 5MP,2,5000.0,32%,5.0,Little Angels,40%,1014,No reviews,2282980.2
247,247,7,C12 ,6.3,2.0,64.0,8MP + 5MP,2,3000.0,21%,0.0,SmartNets Enterprises,74%,249,No reviews,2315309.2
248,248,8,Galaxy A14 ,6.6,4.0,64.0,50MP + 5MP + 2MP + 2MP + 13MP,2,5000.0,45%,0.0,Minestar,86%,1002,No reviews,3678840.5
249,249,2,Hot 30 Play ,6.82,8.0,128.0,16MP + 8MP,2,6000.0,24%,0.0,Superfly,74%,284,No reviews,3159050.0
250,250,8,Galaxy Z Flip5 ,6.7,8.0,256.0,12MP + 12MP + 10MP,2,3700.0,0,0.0,CELLTIC CORNER,100%,592,No reviews,19838498.0
251,251,11,C33 ,6.5,4.0,128.0,50MP + 5MP,2,5000.0,19%,0.0,Minestar,86%,1002,No reviews,5513320.0
252,252,5,Pop 6 ,6.1,2.0,32.0,5MP + 5MP,2,5000.0,3%,0.0,Little Angels,40%,1014,No reviews,2825615.2
253,253,8,Galaxy A24 4G ,6.5,4.0,128.0,50MP + 5MP + 2MP + 13MP,2,5000.0,20%,0.0,CELLINY COLLECTIONS,74%,967,No reviews,4849609.0
254,254,11,C33 ,6.5,4.0,128.0,50MP + 5MP,2,5000.0,25%,0.0,SmartNets Enterprises,74%,249,No reviews,5513320.0
255,255,8,Galaxy M33 5G ,6.6,6.0,128.0,50MP + 5MP + 2MP + 2MP + 8MP,2,6000.0,10%,0.0,NOVA PHONES,80%,1277,No reviews,5197140.0
256,256,2,NOTE 30 VIP ,6.67,8.0,256.0,109MP + 2MP,2,0.0,1%,0.0,SmartNets Enterprises,74%,249,No reviews,6556829.0
257,257,11,C33 ,6.5,4.0,128.0,50MP + 5MP,2,5000.0,23%,0.0,SmartNets Enterprises,74%,249,No reviews,5513320.0
258,258,10,Y36 ,6.64,8.0,128.0,50MP + 2MP + 16MP,2,5000.0,24%,0.0,CELLINY COLLECTIONS,74%,967,No reviews,6740482.0
259,259,7,C1 2nd Edition ,5.45,1.0,16.0,5MP + 5MP,2,0.0,25%,0.0,Minestar,86%,1002,No reviews,1673519.9
260,260,8,Galaxy A04s ,6.5,4.0,64.0,50MP + 2MP + 2MP + 5MP,2,5000.0,1%,0.0,t markets,98%,3,No reviews,3048273.0
261,261,5,CAMON 20 ,6.67,8.0,256.0,32MP + 64MP + 2MP,2,5000.0,29%,0.0,SmartNets Enterprises,74%,249,No reviews,4930356.0
262,262,4,Redmi 10A ,6.53,4.0,128.0,13MP + 5MP,2,5000.0,1%,0.0,Superfly,74%,284,No reviews,2925276.0
263,263,6,A78 4G ,6.43,8.0,256.0,50MP + 8MP,2,5000.0,30%,0.0,CELLINY COLLECTIONS,74%,967,No reviews,6047296.5
264,264,6,A18 ,6.56,4.0,128.0,8MP + 2MP + 5MP,2,5000.0,31%,0.0,SmartNets Enterprises,74%,249,No reviews,3473607.8
265,265,4,Redmi A2 ,6.52,2.0,32.0,8MP + 5MP,2,5000.0,26%,0.0,MNI NabŘi Dealers,60%,17,No reviews,2274430.2
266,266,8,Galaxy F23 5G ,6.6,6.0,128.0,50MP + 8MP + 2MP + 8MP,2,5000.0,10%,4.0,Superfly,74%,284,[ (4 out of 5) latest mobile ],5483893.5
267,267,11,C33 ,6.5,4.0,128.0,50MP + 5MP,2,5000.0,19%,5.0,Minestar,86%,1002,No reviews,5513320.0
268,268,5,Spark 10 Pro ,6.8,8.0,128.0,50MP + 2MP + 32MP,2,5000.0,16%,4.0,Superfly,74%,284,No reviews,3884578.0
269,269,11,C33 ,6.5,4.0,128.0,50MP + 5MP,2,5000.0,18%,0.0,Minestar,86%,1002,No reviews,5513320.0
270,270,5,Spark 10C ,6.6,8.0,128.0,16MP + 2MP,2,5000.0,41%,0.0,Minestar,86%,1002,No reviews,3314947.8
271,271,5,Spark 10 Pro ,6.8,8.0,256.0,50MP + 32MP,2,5000.0,33%,5.0,Kingsly,74%,287,[ (5 out of 5) storage ],4648022.0
272,272,6,A58 ,6.72,6.0,128.0,50MP + 2MP + 8MP,2,5000.0,36%,0.0,Minestar,86%,1002,No reviews,4246751.0
273,273,4,Redmi Note 12 ,6.67,8.0,128.0,50MP + 8MP + 2MP,2,0.0,21%,4.0,SmartNets Enterprises,74%,249,No reviews,5394574.0
274,274,7,C12 ,6.3,2.0,64.0,8MP + 5MP,2,3000.0,21%,0.0,SmartNets Enterprises,74%,249,No reviews,2315309.2
275,275,8,Galaxy F04 ,6.5,4.0,64.0,13MP + 2MP + 5MP,2,5000.0,43%,0.0,KM KENYA ELECTRONICS,80%,1467,No reviews,3048273.0
276,276,7,C1 2nd Edition ,5.45,1.0,16.0,5MP + 5MP,2,0.0,25%,0.0,Minestar,86%,1002,No reviews,1673519.9
277,277,6,A98 5G ,6.72,8.0,256.0,64MP + 2MP + 2MP + 32MP,2,5000.0,13%,0.0,Amira Store,100%,219,No reviews,6659777.5
278,278,6,A98 5G ,6.72,8.0,256.0,64MP + 2MP + 2MP + 32MP,2,5000.0,30%,0.0,Minestar,86%,1002,No reviews,6659777.5
279,279,5,CAMON 20 ,6.67,8.0,256.0,32MP + 64MP + 2MP,2,5000.0,29%,0.0,SmartNets Enterprises,74%,249,No reviews,4930356.0
280,280,4,Redmi 10A ,6.53,4.0,128.0,13MP + 5MP,2,5000.0,1%,0.0,Superfly,74%,284,No reviews,2925276.0
281,281,6,A18 ,6.56,4.0,128.0,8MP + 2MP + 5MP,2,5000.0,20%,0.0,Kingsly,74%,287,No reviews,3473607.8
282,282,5,Spark 10C ,6.6,4.0,128.0,16MP + 2MP,2,5000.0,30%,0.0,Marcus shop,94%,15,No reviews,3379336.2
283,283,5,Spark 10c ,6.6,12.0,128.0,16MP + 8MP,2,5000.0,44%,5.0,KM KENYA ELECTRONICS,80%,1467,No reviews,2938268.8
284,284,8,Galaxy A03 Core ,6.5,2.0,32.0,8MP + 5MP,2,5000.0,32%,3.7,Little Angels,40%,1014,[ (5 out of 5) I like it ],2196155.8
285,285,7,C32 ,6.5,11.0,64.0,50MP + 2MP + 8MP,2,0.0,9%,0.0,Minestar,86%,1002,No reviews,2910302.8
286,286,7,C1 2nd Edition ,5.45,1.0,16.0,5MP + 5MP,2,0.0,28%,0.0,Superfly,74%,284,No reviews,1673519.9
287,287,2,Hot 30 Play ,6.82,8.0,128.0,16MP + 8MP,2,6000.0,22%,3.0,CELLINY COLLECTIONS,74%,967,No reviews,3159050.0
288,288,11,C55 ,6.72,8.0,256.0,64MP,2,5000.0,25%,5.0,Minestar,86%,1002,No reviews,6369917.0
289,289,8,Galaxy S10 Plus Renewed ,6.4,8.0,128.0,76MP + 12MP + 12MP + 16MP + 10MP + 8MP,1,4100.0,0,0.0,Badili Phones,66%,110,No reviews,4463324.0
290,290,6,F11 Renewed ,6.5,6.0,64.0,72MP + 48MP + 5MP + 16MP,2,4020.0,0,0.0,Badili Phones,66%,110,No reviews,2711803.8
291,291,4,Redmi 12 ,6.79,4.0,128.0,50MP + 8MP + 2MP + 8MP,2,5000.0,27%,0.0,SmartNets Enterprises,74%,249,No reviews,3575979.5
292,292,5,Spark 10 ,6.6,16.0,128.0,50MP + 8MP + 50MP,2,5000.0,23%,0.0,Minestar,86%,1002,No reviews,3224804.0
293,293,8,Galaxy A04s ,6.5,4.0,64.0,50MP + 2MP + 2MP + 5MP,2,5000.0,19%,0.0,Minestar,86%,1002,No reviews,3048273.0
294,294,2,NOTE 30 ,6.66,8.0,256.0,64MP + 2MP,2,0.0,47%,0.0,CELLINY COLLECTIONS,74%,967,No reviews,5456417.0
295,295,4,Redmi A2 ,6.52,3.0,64.0,8MP + 5MP,2,5000.0,20%,0.0,SmartNets Enterprises,74%,249,No reviews,2406188.2
296,296,5,Spark 9PRO ,6.6,4.0,128.0,50MP + 32MP,2,5000.0,43%,0.0,CELLINY COLLECTIONS,74%,967,No reviews,3379336.2
297,297,8,Galaxy A04e ,6.5,3.0,32.0,13MP + 2MP + 5MP,2,0.0,29%,0.0,Minestar,86%,1002,No reviews,2630783.5
298,298,2,NOTE 30 ,6.66,8.0,256.0,64MP + 2MP,2,0.0,38%,0.0,SmartNets Enterprises,74%,249,No reviews,5456417.0
299,299,8,Galaxy A24 4G ,6.5,6.0,128.0,50MP + 5MP + 2MP + 13MP,2,5000.0,22%,0.0,CELLINY COLLECTIONS,74%,967,No reviews,5319533.0
300,300,8,Galaxy A03 Core ,6.5,2.0,32.0,8MP + 5MP,2,5000.0,23%,4.0,KM KENYA ELECTRONICS,80%,1467,"[ (2 out of 5) Network poor. I hate it ], [ (5 out of 5) Good one ], [ (5 out of 5) Love it! ], [ (3 out of 5) I like it ]",2196155.8
301,301,7,C12 ,6.3,2.0,64.0,8MP + 5MP,2,3000.0,2%,0.0,Superfly,74%,284,No reviews,2315309.2
302,302,2,Hot 30 Play ,6.82,8.0,128.0,16MP + 8MP,2,6000.0,22%,0.0,CELLINY COLLECTIONS,74%,967,No reviews,3159050.0
303,303,6,A17 ,6.56,4.0,64.0,13MP + 5MP,2,5000.0,5%,0.0,Superfly,74%,284,No reviews,3099868.5
304,304,6,A15s Renewed ,6.52,4.0,64.0,13MP + 2MP + 2MP + 8MP,2,4230.0,13%,0.0,Badili Phones,66%,110,No reviews,2971865.0
305,305,2,Smart 7 HD ,6.6,2.0,64.0,8MP + 5MP,2,5000.0,32%,5.0,Little Angels,40%,1014,[ (5 out of 5) I like it. ],2282980.2
306,306,5,CAMON 20 Pro ,6.67,8.0,256.0,32MP + 64MP,2,5000.0,26%,5.0,Minestar,86%,1002,No reviews,4930356.0
307,307,5,Spark 10 ,6.6,16.0,128.0,50MP + 8MP + 50MP,2,5000.0,24%,0.0,Minestar,86%,1002,No reviews,3224804.0
308,308,5,Pop 6 ,6.1,2.0,32.0,5MP + 5MP,2,5000.0,15%,5.0,Little Angels,40%,1014,No reviews,2825615.2
309,309,5,Spark 10 Pro Display ,6.8,8.0,128.0,50MP + 32MP,2,5000.0,22%,0.0,Kingsly,74%,287,No reviews,3884578.0
310,310,8,Galaxy A03 Core ,6.5,2.0,32.0,8MP + 5MP,2,5000.0,0,0.0,midland electronics,100%,18,No reviews,2196155.8
311,311,11,C55 ,6.72,6.0,128.0,64MP,2,5000.0,10%,0.0,SmartNets Enterprises,74%,249,No reviews,6112310.5
312,312,8,Galaxy A24 4G ,6.5,4.0,128.0,50MP + 5MP + 2MP + 13MP,2,0.0,10%,0.0,Superfly,74%,284,No reviews,3880072.5
313,313,2,Hot 30 Play ,6.82,8.0,128.0,16MP + 8MP,2,6000.0,37%,0.0,Minestar,86%,1002,No reviews,3159050.0
314,314,2,Hot 30 Play ,6.82,8.0,128.0,16MP + 8MP,2,6000.0,8%,0.0,NGALA STORE,94%,123,No reviews,3159050.0
315,315,2,NOTE 30 VIP ,6.67,8.0,256.0,109MP + 2MP,2,0.0,1%,0.0,SmartNets Enterprises,74%,249,No reviews,6556829.0
316,316,6,Reno 7 5G ,6.43,8.0,256.0,2MP + 32MP,2,4500.0,20%,0.0,Minestar,86%,1002,No reviews,7665451.5
317,317,10,Y36 ,6.64,8.0,128.0,50MP + 2MP + 16MP,2,5000.0,21%,0.0,CELLINY COLLECTIONS,74%,967,No reviews,6740482.0
318,318,11,C30s Display ,6.5,2.0,32.0,8MP + 5MP,2,5000.0,5%,0.0,VANTON TECH,60%,150,No reviews,4429205.5
319,319,8,Galaxy A24 ,6.5,6.0,128.0,50MP + 5MP + 2MP + 13MP,2,5000.0,32%,0.0,Minestar,86%,1002,No reviews,5319533.0
320,320,5,CAMON 20 ,6.67,8.0,256.0,32MP + 64MP + 2MP,2,5000.0,26%,0.0,SmartNets Enterprises,74%,249,No reviews,4930356.0
321,321,2,Hot 30i ,6.6,4.0,128.0,13MP + 8MP,2,5000.0,16%,0.0,Superfly,74%,284,No reviews,2751081.5
322,322,4,Redmi A2 ,6.52,2.0,32.0,8MP + 5MP,2,5000.0,12%,0.0,Superfly,74%,284,No reviews,2274430.2
323,323,2,NOTE 30 VIP ,6.67,8.0,256.0,109MP + 2MP,2,0.0,1%,0.0,SmartNets Enterprises,74%,249,No reviews,6556829.0
324,324,2,NOTE 30 ,6.66,8.0,256.0,64MP + 2MP,2,0.0,38%,0.0,SmartNets Enterprises,74%,249,No reviews,5456417.0
325,325,5,POP 7 Pro ,6.6,11.0,64.0,5MP + 13MP,2,0.0,30%,0.0,KM KENYA ELECTRONICS,80%,1467,No reviews,2393299.8
326,326,8,Galaxy M13 ,6.6,6.0,128.0,50MP + 5MP + 2MP + 8MP,2,0.0,5%,0.0,Superfly,74%,284,No reviews,4229353.5
327,327,8,Galaxy A14 ,6.6,4.0,64.0,50MP + 5MP + 2MP + 2MP + 13MP,2,5000.0,29%,5.0,Superfly,74%,284,No reviews,3678840.5
328,328,2,Hot 30 Play ,6.82,8.0,128.0,16MP + 8MP,2,6000.0,22%,0.0,CELLINY COLLECTIONS,74%,967,No reviews,3159050.0
329,329,6,A17 ,6.56,4.0,64.0,13MP + 5MP,2,5000.0,5%,0.0,Superfly,74%,284,No reviews,3099868.5
330,330,6,A15s Renewed ,6.52,4.0,64.0,13MP + 2MP + 2MP + 8MP,2,4230.0,13%,0.0,Badili Phones,66%,110,No reviews,2971865.0
331,331,8,Galaxy A24 4G ,6.5,4.0,128.0,50MP + 5MP + 2MP + 13MP,2,5000.0,29%,0.0,CELLINY COLLECTIONS,74%,967,No reviews,4849609.0
332,332,8,Galaxy M13 SCREEN SIZE ,6.6,6.0,128.0,50MP + 5MP + 2MP + 8MP,2,0.0,11%,5.0,Superfly,74%,284,[ (5 out of 5) Happy customer. ],4229353.5
333,333,2,Hot 30 Play ,6.82,8.0,128.0,16MP + 8MP,2,6000.0,43%,0.0,Minestar,86%,1002,No reviews,3159050.0
334,334,5,CAMON 20 Pro ,6.67,8.0,256.0,32MP + 64MP,2,5000.0,26%,5.0,Minestar,86%,1002,No reviews,4930356.0
335,335,2,NOTE 30 ,6.66,8.0,256.0,64MP + 2MP,2,0.0,40%,0.0,CELLINY COLLECTIONS,74%,967,No reviews,5456417.0
336,336,8,Galaxy A03 Core Disp ,6.5,2.0,32.0,8MP + 5MP,2,5000.0,41%,5.0,Kingsly,74%,287,No reviews,2196155.8
337,337,14,F6 ,5.7,3.0,32.0,13MP + 2MP + 8MP,2,2970.0,0,0.0,3C Market,60%,2,No reviews,5302505.5
338,338,6,A16k ,6.52,4.0,64.0,13MP + 5MP,2,4230.0,21%,0.0,CELLINY COLLECTIONS,74%,967,No reviews,2971865.0
339,339,4,Redmi 12C ,6.71,3.0,64.0,50MP + 5MP,2,5000.0,10%,0.0,SmartNets Enterprises,74%,249,No reviews,2705624.8
340,340,2,Smart 7 HD ,6.6,2.0,64.0,8MP + 5MP,2,5000.0,22%,0.0,Superfly,74%,284,No reviews,2282980.2
341,341,4,Redmi 12C ,6.71,3.0,64.0,50MP + 5MP,2,5000.0,10%,0.0,SmartNets Enterprises,74%,249,No reviews,2705624.8
342,342,6,Reno 10 5G ,6.7,8.0,256.0,64MP + 32MP + 8MP + 32MP,2,5000.0,19%,0.0,SmartNets Enterprises,74%,249,No reviews,8531926.0
343,343,13,one 14 Pro Max ,6.7,6.0,256.0,12MP + 12MP,1,4323.0,32%,0.0,Brybell Master Ltd,50%,16,No reviews,33667996.0
344,344,6,A58 ,6.72,6.0,128.0,50MP + 2MP + 8MP,2,5000.0,35%,0.0,Minestar,86%,1002,No reviews,4246751.0
345,345,2,Hot 30i ,6.6,4.0,128.0,13MP + 8MP,2,5000.0,13%,0.0,Superfly,74%,284,No reviews,2751081.5
346,346,7,C31 ,6.75,4.0,64.0,13MP + 2MP + 5MP,2,0.0,19%,0.0,Superfly,74%,284,No reviews,2595093.8
347,347,2,NOTE 30 ,6.66,8.0,256.0,64MP + 2MP,2,0.0,25%,0.0,CELLINY COLLECTIONS,74%,967,No reviews,5456417.0
348,348,8,Galaxy A04s ,6.5,4.0,128.0,50MP + 2MP + 2MP + 5MP,2,0.0,25%,0.0,Superfly,74%,284,No reviews,3880072.5
349,349,11,C21Y ,6.5,3.0,32.0,13MP + 5MP,2,5000.0,21%,0.0,PAFEL MALL,50%,23,No reviews,4635860.5
350,350,2,Hot 30i ,6.6,4.0,128.0,13MP + 8MP,2,5000.0,12%,0.0,Superfly,74%,284,No reviews,2751081.5
351,351,8,A03 Core ,6.5,2.0,32.0,8MP + 5MP,2,5000.0,1%,0.0,Kattason enterprise,94%,291,No reviews,2196155.8
352,352,5,Spark 10 Pro ,6.8,8.0,128.0,50MP + 2MP + 32MP,2,5000.0,4%,5.0,SmartNets Enterprises,74%,249,No reviews,3884578.0
353,353,8,Galaxy A24 4G ,6.5,6.0,128.0,50MP + 5MP + 2MP + 13MP,2,5000.0,22%,0.0,CELLINY COLLECTIONS,74%,967,No reviews,5319533.0
354,354,8,Galaxy A04e ,6.5,3.0,32.0,13MP + 2MP + 5MP,2,5000.0,32%,0.0,KM KENYA ELECTRONICS,80%,1467,No reviews,2505790.0
355,355,11,C55 ,6.72,6.0,128.0,64MP,2,5000.0,10%,0.0,CELLINY COLLECTIONS,74%,967,No reviews,6112310.5
356,356,6,A17 ,6.56,4.0,64.0,13MP + 5MP,2,5000.0,8%,5.0,Superfly,74%,284,No reviews,3099868.5
357,357,5,Spark 10 Pro Display ,6.8,8.0,256.0,50MP + 32MP,2,5000.0,31%,4.0,Kingsly,74%,287,No reviews,4648022.0
358,358,2,Smart 7 HD ,6.6,2.0,64.0,8MP + 5MP,2,5000.0,31%,4.0,Little Angels,40%,1014,[ (5 out of 5) jumia ],2282980.2
359,359,4,Redmi Note 12 ,6.67,6.0,128.0,50MP + 8MP + 2MP,2,0.0,8%,0.0,Superfly,74%,284,No reviews,4141928.8
360,360,5,CAMON 20 ,6.67,8.0,256.0,32MP + 64MP + 2MP,2,5000.0,28%,0.0,SmartNets Enterprises,74%,249,No reviews,4930356.0
361,361,6,Reno10 5G ,6.7,8.0,256.0,64MP + 32MP + 8MP + 32MP,2,5000.0,29%,0.0,KM KENYA ELECTRONICS,80%,1467,No reviews,8531926.0
362,362,2,NOTE 12 VIP ,6.67,8.0,256.0,108MP + 13MP + 2MP + 16MP,2,4500.0,17%,0.0,CELLINY COLLECTIONS,74%,967,No reviews,6429288.5
363,363,2,Note 12i ,6.82,4.0,128.0,50MP + 2MP + 2MP + 8MP,2,5000.0,28%,0.0,SmartNets Enterprises,74%,249,No reviews,3414964.2
364,364,5,Spark 10 Pro ,6.8,16.0,256.0,50MP + 2MP + 32MP,2,5000.0,33%,0.0,Minestar,86%,1002,No reviews,4608557.5
365,365,6,Reno 10 5G ,6.7,8.0,256.0,64MP + 32MP + 8MP + 32MP,2,5000.0,33%,0.0,Minestar,86%,1002,No reviews,8531926.0
366,366,6,A16k ,6.52,4.0,64.0,13MP + 5MP,2,4230.0,0,5.0,jkam,46%,11,No reviews,2971865.0
367,367,8,Galaxy M33 5G ,6.6,6.0,128.0,50MP + 5MP + 2MP + 2MP + 8MP,2,6000.0,10%,4.7,NOVA PHONES,80%,1277,No reviews,5197140.0
368,368,4,Redmi Note 12 ,6.67,6.0,128.0,50MP + 8MP + 2MP,2,0.0,21%,0.0,Minestar,86%,1002,No reviews,4141928.8
369,369,8,Galaxy A04E ,6.5,3.0,32.0,50MP + 2MP + 5MP,2,0.0,36%,5.0,MNI NabŘi Dealers,60%,17,No reviews,2630783.5
370,370,2,NOTE 30 ,6.66,8.0,256.0,64MP + 2MP,2,0.0,29%,3.0,CELLINY COLLECTIONS,74%,967,No reviews,5456417.0
371,371,8,Galaxy S9 S9 Plus ,6.2,6.0,64.0,12MP,1,0.0,43%,4.5,FashionYuyu,100%,146,No reviews,6905667.0
372,372,8,Galaxy A14 ,6.6,4.0,64.0,50MP + 5MP + 2MP + 2MP + 13MP,2,5000.0,29%,0.0,Superfly,74%,284,No reviews,3678840.5
373,373,6,A18 ,6.56,4.0,128.0,8MP + 2MP + 5MP,2,5000.0,21%,0.0,Kingsly,74%,287,No reviews,3473607.8
374,374,11,C55 ,6.72,6.0,128.0,64MP,2,5000.0,10%,0.0,CELLINY COLLECTIONS,74%,967,No reviews,6112310.5
375,375,5,Spark 10 Disp ,6.6,8.0,128.0,50MP + 8MP,2,5000.0,32%,0.0,Kingsly,74%,287,No reviews,3314947.8
376,376,5,Camon 20 ,6.67,16.0,256.0,32MP + 64MP + 2MP,2,0.0,15%,0.0,Little Angels,40%,1014,No reviews,4521864.5
377,377,5,Camon 20 ,6.67,16.0,256.0,32MP + 64MP + 2MP,2,0.0,17%,0.0,Little Angels,40%,1014,No reviews,4521864.5
378,378,4,Redmi 10C ,6.7,4.0,64.0,5MP,2,0.0,8%,1.0,CELLINY COLLECTIONS,74%,967,[ (1 out of 5) Lies not actually 10c ],3368452.0
379,379,10,Y17s ,6.64,8.0,128.0,50MP + 2MP + 16MP,2,5000.0,21%,0.0,CELLINY COLLECTIONS,74%,967,No reviews,6740482.0
380,380,6,A78 4G ,6.43,8.0,256.0,50MP + 8MP,2,5000.0,30%,0.0,CELLINY COLLECTIONS,74%,967,No reviews,6047296.5
381,381,4,Redmi Note 12s 4G ,6.43,8.0,256.0,108MP + 8MP + 2MP + 12MP,2,5000.0,13%,0.0,CELLINY COLLECTIONS,74%,967,No reviews,5505425.0
382,382,6,A7 ,6.2,3.0,64.0,3+2MP + 16MP,2,4230.0,0,0.0,Bonucci,New,4,No reviews,3351328.8
383,383,8,Galaxy A04s ,6.5,4.0,128.0,50MP + 2MP + 2MP + 5MP,2,0.0,22%,0.0,Superfly,74%,284,No reviews,3880072.5
384,384,8,Galaxy M33 5G ,6.6,6.0,128.0,50MP + 5MP + 2MP + 2MP + 8MP,2,6000.0,31%,0.0,Sysnex,86%,27,No reviews,5197140.0
385,385,6,A17K ,6.56,3.0,64.0,8MP + 2MP + 5MP,2,5000.0,16%,0.0,Minestar,86%,1002,No reviews,2745075.2
386,386,5,CAMON 20 ,6.67,8.0,256.0,32MP + 64MP + 2MP,2,5000.0,29%,0.0,Minestar,86%,1002,No reviews,4930356.0
387,387,5,CAMON 20 Pro ,6.67,8.0,256.0,32MP + 64MP,2,5000.0,11%,0.0,SmartNets Enterprises,74%,249,No reviews,4930356.0
